Sigla,Resolução ANEEL,Início Vigência,Fim Vigência,Base Tarifária,Subgrupo,Modalidade,Classe,Subclasse,Detalhe,Acessante,Posto,Unidade,TUSD,TE
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,A4,Azul,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Fora ponta,R$/kW,"24,15",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,A4,Azul,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Fora ponta,R$/MWh,"150,73","321,23"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,A4,Azul,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Fora ponta,R$/MWh,"143,78","369,8"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,A4,Azul,Não se aplica,Não se aplica,SCEE,Não se aplica,Fora ponta,R$/MWh,"150,73","46,26"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,A4,Azul,Não se aplica,Não se aplica,SCEE,Não se aplica,Fora ponta,R$/MWh,"143,78","95,19"
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,A4,Azul,Não se aplica,Não se aplica,APE,Não se aplica,Ponta,R$/kW,"42,29",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,A4,Azul,Não se aplica,Não se aplica,APE,Não se aplica,Ponta,R$/kW,"44,65",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,A4,Azul,Não se aplica,Não se aplica,APE,Não se aplica,Ponta,R$/MWh,"92,65",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,A4,Azul,Não se aplica,Não se aplica,APE,Não se aplica,Ponta,R$/MWh,"94,86",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,A4,Azul,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Ponta,R$/kW,"42,29",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Tarifa de Aplicação,A4,Azul,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Ponta,R$/kW,"44,65",0
Amazonas Energia,"REH Nº 3.333, DE 21 DE MAIO DE 2024",5/26/2024,5/25/2025,Base Econômica,A4,Azul,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Ponta,R$/MWh,"150,73","519,22"
